# kind nAtoms frames pass rep compute_ms
synth 2000 1 4 8 6.877
synth 2000 1 4 9 6.887
synth 2000 1 4 10 6.946
synth 2000 1 4 11 6.909
synth 2000 1 4 12 6.868
synth 2000 1 4 13 6.877
synth 2000 1 4 14 5.898
synth 2000 1 4 15 5.872
synth 2000 1 4 16 5.817
synth 2000 1 4 17 5.863
synth 2000 1 4 18 5.815
synth 2000 1 4 19 5.804
synth 2000 1 4 20 5.824
synth 4000 1 4 0 7.033
synth 4000 1 4 1 7.016
synth 4000 1 4 2 7.013
synth 4000 1 4 3 7.007
synth 4000 1 4 4 7.017
synth 4000 1 4 5 7.018
synth 4000 1 4 6 7.011
synth 4000 1 4 7 7.011
synth 4000 1 4 8 7.021
synth 4000 1 4 9 7.015
synth 4000 1 4 10 7.006
synth 4000 1 4 11 7.014
synth 4000 1 4 12 7.004
synth 4000 1 4 13 7.009
synth 4000 1 4 14 7.024
synth 4000 1 4 15 7.011
synth 4000 1 4 16 7.004
synth 4000 1 4 17 7.011
synth 4000 1 4 18 7.005
synth 4000 1 4 19 6.383
synth 4000 1 4 20 4.203
synth 8000 1 4 0 8.775
synth 8000 1 4 1 8.761
synth 8000 1 4 2 8.773
synth 8000 1 4 3 8.759
synth 8000 1 4 4 8.758
synth 8000 1 4 5 8.763
synth 8000 1 4 6 8.755
synth 8000 1 4 7 8.750
synth 8000 1 4 8 8.743
synth 8000 1 4 9 8.753
synth 8000 1 4 10 8.757
synth 8000 1 4 11 8.747
synth 8000 1 4 12 8.754
synth 8000 1 4 13 8.765
synth 8000 1 4 14 8.742
synth 8000 1 4 15 8.756
synth 8000 1 4 16 8.772
synth 8000 1 4 17 8.746
synth 8000 1 4 18 8.750
synth 8000 1 4 19 8.756
synth 8000 1 4 20 8.756
synth 16000 1 4 0 16.700
synth 16000 1 4 1 16.642
synth 16000 1 4 2 16.985
synth 16000 1 4 3 17.013
synth 16000 1 4 4 16.800
synth 16000 1 4 5 15.975
synth 16000 1 4 6 15.490
synth 16000 1 4 7 15.523
synth 16000 1 4 8 15.339
synth 16000 1 4 9 15.577
synth 16000 1 4 10 15.142
synth 16000 1 4 11 15.664
synth 16000 1 4 12 15.131
synth 16000 1 4 13 15.087
synth 16000 1 4 14 15.149
synth 16000 1 4 15 15.111
synth 16000 1 4 16 15.146
synth 16000 1 4 17 15.574
synth 16000 1 4 18 11.302
synth 16000 1 4 19 9.336
synth 16000 1 4 20 9.395
synth 32000 1 4 0 32.332
synth 32000 1 4 1 32.332
synth 32000 1 4 2 32.145
synth 32000 1 4 3 32.126
synth 32000 1 4 4 32.263
synth 32000 1 4 5 32.134
synth 32000 1 4 6 32.236
synth 32000 1 4 7 32.287
synth 32000 1 4 8 20.394
synth 32000 1 4 9 17.708
synth 32000 1 4 10 17.751
synth 32000 1 4 11 17.572
synth 32000 1 4 12 17.835
synth 32000 1 4 13 17.627
synth 32000 1 4 14 17.758
synth 32000 1 4 15 17.821
synth 32000 1 4 16 17.667
synth 32000 1 4 17 17.651
synth 32000 1 4 18 17.861
synth 32000 1 4 19 17.625
synth 32000 1 4 20 17.658
cubic 4096 1 4 0 8.397
cubic 4096 1 4 1 8.372
cubic 4096 1 4 2 8.381
cubic 4096 1 4 3 8.374
cubic 4096 1 4 4 8.368
cubic 4096 1 4 5 8.371
cubic 4096 1 4 6 8.385
cubic 4096 1 4 7 8.367
cubic 4096 1 4 8 8.371
cubic 4096 1 4 9 8.372
cubic 4096 1 4 10 8.361
cubic 4096 1 4 11 8.379
cubic 4096 1 4 12 8.367
cubic 4096 1 4 13 8.377
cubic 4096 1 4 14 8.358
cubic 4096 1 4 15 8.379
cubic 4096 1 4 16 8.371
cubic 4096 1 4 17 8.377
cubic 4096 1 4 18 8.376
cubic 4096 1 4 19 8.378
cubic 4096 1 4 20 8.366
cubic 4096 2 4 0 9.200
cubic 4096 2 4 1 9.190
cubic 4096 2 4 2 9.188
cubic 4096 2 4 3 9.200
cubic 4096 2 4 4 9.199
cubic 4096 2 4 5 9.200
cubic 4096 2 4 6 9.175
